Date,Amount,Currency,Category,Description
2025-04-25,8000,KHR,Food,Lunch
2025-04-25,3500,KHR,Food,Drink
2025-04-25,5000,KHR,Food,Dinner
2025-04-25,20000,KHR,Utilities,Blanket 
2025-04-26,3000,KHR,Food,Green tea
2025-04-26,16000,KHR,Food,Dinner with bro Phearum & Sieyha
2025-04-27,9000,KHR,Food,Lunch
2025-04-27,14000,KHR,Food,Dinner
2025-04-28,2500,KHR,Food,Breakfast 
2025-04-28,8000,KHR,Food,Lunch
2025-04-29,7000,KHR,Food,Lunch
2025-04-29,6000,KHR,Food,Bread
2025-04-30,5000,KHR,Food,Breakfast 
2025-04-30,10000,KHR,Others,Medical 
2025-04-30,8000,KHR,Food,Lunch
2025-04-30,6000,KHR,Food,Dinner
2025-05-02,5000,KHR,Food,Breakfast 
2025-05-02,8000,KHR,Food,Lunch
2025-05-02,14000,KHR,Food,Sausages 
2025-05-02,8800,KHR,Travel,Petroleum 
2025-05-03,5000,KHR,Food,Lunch
2025-05-04,2000,KHR,Food,Lunch
2025-05-04,46,USD,Utilities,Skin 7
2025-05-04,35,USD,Utilities,Bag, Belt and Loafer
2025-05-04,8000,KHR,Food,Dinner
2025-05-05,8000,KHR,Food,Lunch
2025-05-05,2500,KHR,Food,Dinner
2025-05-06,3000,KHR,Food,Breakfast 
2025-05-06,10000,KHR,Food,Lunch
2025-05-07,8000,KHR,Food,Lunch 
2025-05-08,9000,KHR,Food,Lunch
2025-05-08,6.58,USD,Food,Dinner with bro bro
2025-05-09,2500,USD,Food,Breakfast 
2025-05-09,8000,KHR,Food,Lunch
2025-05-09,5000,KHR,Food,Teapod
2025-05-09,8,USD,Utilities,Capo
2025-05-09,5000,KHR,Food,Avocado smoothie 
2025-05-10,16000,KHR,Food,Foods 
2025-05-11,9000,KHR,Food,Foods
2025-05-11,3.78,USD,Travel,Petroleum 
2025-05-12,5000,KHR,Food,Breakfast 
2025-05-12,2,USD,Food,Lunch 
2025-05-12,4,USD,Food,Diner
2025-05-12,9000,KHR,Food,Posence
2025-05-12,16000,KHR,Food,Water 1 pack 
2025-05-13,5000,KHR,Food,Breakfast 
2025-05-13,8000,KHR,Food,Lunch
2025-05-13,3000,KHR,Food,Dinner
